Symbol,Code
и,0000
н,0001
т,0010
ч,001100
б,001101
к,00111
ы,010000
З,0100010000
),010001000100
(,010001000101
Р,01000100011
А,010001001
Г,01000101
х,01000110
-,01000111
"
",010010
г,010011
з,010100
й,0101010
Т,010101100
И,010101101
э,010101110
К,010101111
в,01011
е,0110
В,01110000
П,011100010
ц,011100011
Н,0111001
—,011101
д,01111
с,10000
л,10001
ь,100100
Б,1001010000
Е,1001010001
С,1001010010
Э,10010100110
*,10010100111
щ,100101010
Д,100101011
»,10010110000
«,10010110001
;,1001011001000
Х,1001011001001
4,1001011001010
9,1001011001011
Ш,1001011001100
Л,1001011001101
Я,1001011001110
ъ,1001011001111
М,100101101
ё,10010111
я,100110
м,100111
 ,101
р,11000
у,110010
",",110011
п,110100
.,110101
ж,1101100
ю,11011010
!,11011011
Ф,1101110000
:,11011100010
Ж,110111000110
1,110111000111
О,1101110010
Ч,1101110011
ш,11011101
?,11011110
ф,110111110
…,110111111
о,1110
а,1111
